Subfolder,Deal,NorthHand,EastHand,SouthHand,WestHand,label
Bidpractice/Set12,13,S:AJ H:KQJ84 D:A5 C:J542,S:Q962 H:62 D:KQT7 C:T93,S:K53 H:T953 D:9864 C:KQ,S:T874 H:A7 D:J32 C:A876,auction_calm
Bidpractice/Set12,14,S:985 H:J74 D:KQT3 C:AK5,S:KQ43 H:9652 D:J87 C:97,S:AJT H:AQT3 D:94 C:QJ64,S:762 H:K8 D:A652 C:T832,auction_calm
Bidpractice/Set12,15,S:Q75 H:JT76 D:A8 C:KQJ3,S:J9 H:2 D:KQJ65 C:T8764,S:K8432 H:KQ83 D:73 C:A5,S:AT6 H:A954 D:T942 C:92,auction_calm
Bidpractice/Set12,16,S:KJ97 H:87 D:AKJ62 C:T2,S:A62 H:Q932 D:Q875 C:J6,S:QT83 H:AK65 D:T C:A984,S:54 H:JT4 D:943 C:KQ753,auction_calm
Bidpractice/Set12,17,S:A64 H:AK972 D:7 C:K865,S:KQT83 H:J4 D:K964 C:94,S:97 H:Q653 D:T83 C:AJ72,S:J52 H:T8 D:AQJ52 C:QT3,auction_calm
Bidpractice/Set12,18,S:Q6 H:KJ85 D:A9854 C:K8,S:A943 H:Q432 D:JT6 C:75,S:KJT5 H:T96 D:K7 C:AQJ3,S:872 H:A7 D:Q32 C:T9642,auction_calm
Bidpractice/Set12,19,S:Q54 H:76 D:AK98 C:A874,S:J8 H:AT2 D:QJT54 C:JT2,S:AKT63 H:KQ985 D:63 C:5,S:972 H:J43 D:72 C:KQ963,auction_calm
Bidpractice/Set12,20,S:K76 H:KJ873 D:A94 C:92,S:J43 H:T964 D:7 C:AQJT8,S:Q85 H:A5 D:KQJ62 C:643,S:AT92 H:Q2 D:T853 C:K75,auction_calm
Bidpractice/Set12,21,S:84 H:AK943 D:AJ96 C:75,S:T52 H:762 D:Q5 C:AQJ86,S:AQJ63 H:QJ5 D:K4 C:T92,S:K97 H:T8 D:T8732 C:K43,auction_calm
Bidpractice/Set12,22,S:Q93 H:7642 D:KT82 C:Q5,S:72 H:AT98 D:A74 C:T987,S:AKJ86 H:J53 D:3 C:AK63,S:T54 H:KQ D:QJ965 C:J42,auction_calm
Bidpractice/Set12,23,S:K95 H:KJ2 D:A963 C:Q64,S:T3 H:A7654 D:8 C:AJT97,S:AJ862 H:Q93 D:K74 C:85,S:Q74 H:T8 D:QJT52 C:K32,auction_calm
Bidpractice/Set12,24,S:KT7 H:AK652 D:J98 C:Q5,S:Q83 H:Q873 D:A65 C:T92,S:A95 H:T4 D:KQ74 C:KJ63,S:J642 H:J9 D:T32 C:A874,auction_calm
Bidpractice/Set2,1,S:A5 H:KQT97 D:KQ6 C:QJ4,S:T8 H:653 D:AT53 C:AK92,S:K763 H:J42 D:974 C:865,S:QJ942 H:A8 D:J82 C:T73,auction_calm
Bidpractice/Set2,2,S:K82 H:K543 D:86 C:9832,S:AT3 H:Q862 D:AJT9 C:T6,S:QJ964 H:A9 D:K74 C:KQJ,S:75 H:JT7 D:Q532 C:A754,auction_calm
Bidpractice/Set2,3,S:Q75 H:KJ74 D:J942 C:J8,S:8 H:A52 D:KQ853 C:KT72,S:AJ9642 H:83 D:A6 C:Q54,S:KT3 H:QT96 D:T7 C:A963,auction_calm
Bidpractice/Set2,4,S:J65 H:KT75 D:A8 C:9862,S:Q942 H:3 D:JT965 C:KQ3,S:AK H:QJ8642 D:KQ3 C:75,S:T873 H:A9 D:742 C:AJT4,auction_calm
Bidpractice/Set2,5,S:T92 H:AK542 D:85 C:AKQ,S:Q8 H:98 D:KQ963 C:JT62,S:764 H:Q763 D:AJ4 C:985,S:AKJ53 H:JT D:T72 C:743,auction_calm
Bidpractice/Set2,6,S:KJ874 H:K72 D:A95 C:AQ,S:T2 H:J64 D:KQT7 C:K853,S:A63 H:9853 D:8643 C:92,S:Q95 H:AQT D:J2 C:JT764,auction_calm
Bidpractice/Set2,7,S:KQJ54 H:A7 D:KQ5 C:J86,S:872 H:T62 D:AT873 C:KQ,S:T963 H:KQ4 D:9642 C:A7,S:A H:J9853 D:J C:T95432,auction_calm
Bidpractice/Set2,8,S:872 H:Q964 D:K62 C:AQ3,S:AT4 H:T3 D:QT3 C:KJT72,S:KJ6 H:KJ852 D:A74 C:85,S:Q953 H:A7 D:J985 C:964,auction_calm
Bidpractice/Set2,9,S:QJ H:J854 D:A983 C:QJ7,S:AT972 H:T9 D:QJ C:8643,S:863 H:AKQ72 D:K6 C:T95,S:K54 H:63 D:T7542 C:AK2,auction_calm
Bidpractice/Set2,10,S:J962 H:KQ75 D:83 C:T74,S:8 H:J83 D:AKQT62 C:J52,S:KQT73 H:A42 D:975 C:A6,S:A54 H:T96 D:J4 C:KQ983,auction_calm
Bidpractice/Set2,11,S:AQ753 H:KQ D:A876 C:94,S:T H:A7432 D:QT94 C:J73,S:K642 H:J85 D:K32 C:A62,S:J98 H:T96 D:J5 C:KQT85,auction_calm
Bidpractice/Set2,12,S:AKQ7 H:743 D:852 C:Q95,S:5 H:KT852 D:QT94 C:T62,S:JT864 H:A6 D:AK6 C:KJ3,S:932 H:QJ9 D:J73 C:A874,auction_calm
Bidpractice/Set2,13,S:K5 H:QJT83 D:KQJ C:962,S:QT8732 H:4 D:T98 C:QJ4,S:A64 H:K952 D:7653 C:AK,S:J9 H:A76 D:A42 C:T8753,auction_calm
Bidpractice/Set2,14,S:KQ92 H:QJ D:Q764 C:J84,S:63 H:9876 D:J985 C:KQ3,S:AJT874 H:AK5 D:AK3 C:9,S:5 H:T432 D:T2 C:AT7652,auction_calm
Bidpractice/Set2,15,S:A7652 H:76 D:A83 C:AJ4,S:Q H:Q942 D:KQT75 C:Q72,S:JT943 H:A53 D:9 C:K863,S:K8 H:KJT8 D:J642 C:T95,auction_calm
Bidpractice/Set2,16,S:94 H:AK52 D:KJ3 C:K962,S:KJT62 H:QJ D:QT C:T754,S:A87 H:T9863 D:A62 C:A8,S:Q53 H:74 D:98754 C:QJ3,auction_calm
Bidpractice/Set2,17,S:K9 H:AKJ65 D:AT5 C:A76,S:AT6543 H:2 D:J982 C:J4,S:Q82 H:Q843 D:K74 C:KQ2,S:J7 H:T97 D:Q63 C:T9853,auction_calm
Bidpractice/Set2,18,S:AJ653 H:JT9 D:AQ54 C:6,S:K H:A8742 D:K97 C:8743,S:Q98742 H:KQ3 D:86 C:95,S:T H:65 D:JT32 C:AKQJT2,auction_calm
Bidpractice/Set2,19,S:AQ9753 H:Q7 D:AK3 C:K2,S:K4 H:AJ864 D:JT C:T985,S:JT82 H:K52 D:86 C:Q763,S:6 H:T93 D:Q97542 C:AJ4,auction_calm
Bidpractice/Set2,20,S:J8 H:KQ54 D:9753 C:T64,S:KT962 H:T9 D:AT C:9875,S:A74 H:AJ872 D:KQJ C:A3,S:Q53 H:63 D:8642 C:KQJ2,auction_calm
Bidpractice/Set2,21,S:A H:KQ98742 D:KQ C:K42,S:Q52 H:T5 D:AT62 C:AQT3,S:J863 H:63 D:J843 C:875,S:KT974 H:AJ D:975 C:J96,auction_calm
Bidpractice/Set2,22,S:J842 H:976 D:QJ C:AK72,S:9 H:A843 D:AT653 C:J64,S:KQT65 H:KQ2 D:K87 C:83,S:A73 H:JT5 D:942 C:QT95,auction_calm
Bidpractice/Set2,23,S:KJ872 H:A98 D:KQJ C:65,S:Q H:Q643 D:T9763 C:Q93,S:T953 H:KJ2 D:A5 C:K742,S:A64 H:T75 D:842 C:AJT8,auction_calm
Bidpractice/Set2,24,S:A6 H:AQ87642 D:A3 C:42,S:KJ9872 H: D:KJ982 C:A6,S:543 H:K53 D:T65 C:QJ85,S:QT H:JT9 D:Q74 C:KT973,auction_calm
Bidpractice/Set3,1,S:J6 H:KQT832 D:A7 C:AK3,S:A97542 H: D:KJT93 C:Q4,S:KQ3 H:J964 D:862 C:965,S:T8 H:A75 D:Q54 C:JT872,auction_calm
Bidpractice/Set3,2,S:T97 H:A96 D:KQ73 C:K84,S:K865 H:QJ732 D: C:9753,S:AQ4 H:KT8 D:JT95 C:AJ6,S:J32 H:54 D:A8642 C:QT2,auction_calm
Bidpractice/Set3,3,S:QJ64 H:A95 D:82 C:AK63,S:A852 H:T872 D:A C:JT97,S:KT73 H:K6 D:T754 C:852,S:9 H:QJ43 D:KQJ963 C:Q4,auction_calm
Bidpractice/Set3,4,S:75 H:T984 D:K94 C:K852,S:AT982 H:J6 D:QJ C:JT97,S:QJ6 H:AKQ72 D:A53 C:64,S:K43 H:53 D:T8762 C:AQ3,auction_calm
Bidpractice/Set3,5,S:A832 H:KT9 D:AJ7 C:KQ6,S:KJ765 H:762 D:T84 C:A3,S:T94 H:QJ4 D:KQ52 C:J95,S:Q H:A853 D:963 C:T8742,auction_calm
Bidpractice/Set3,6,S:KJ84 H:AK72 D:65 C:K93,S:72 H:T863 D:KJT3 C:J64,S:AQT6 H:54 D:A874 C:A82,S:953 H:QJ9 D:Q92 C:QT75,auction_calm
Bidpractice/Set3,7,S:KQT84 H:A7 D:KQ5 C:QT6,S:J52 H:K985 D:JT C:8543,S:A963 H:Q64 D:A962 C:J7,S:7 H:JT32 D:8743 C:AK92,auction_calm
Bidpractice/Set3,8,S:87 H:T64 D:KQT96 C:T73,S:J52 H:Q8752 D:85 C:K94,S:AK6 H:AJ9 D:AJ2 C:A852,S:QT943 H:K3 D:743 C:QJ6,auction_calm
Bidpractice/Set3,9,S:J63 H:AKQ82 D:K6 C:T95,S:AQ874 H:973 D:A952 C:4,S:T95 H:J4 D:QJ83 C:KJ72,S:K2 H:T65 D:T74 C:AQ863,auction_calm
Bidpractice/Set3,10,S:J962 H:KQ75 D:83 C:T74,S:8 H:J83 D:AKQT62 C:J52,S:KQT73 H:A42 D:975 C:A6,S:A54 H:T96 D:J4 C:KQ983,auction_calm
Bidpractice/Set3,11,S:A83 H:A7 D:KJ964 C:QJ5,S:Q976 H:JT843 D: C:7643,S:KJ4 H:KQ92 D:AQ5 C:KT8,S:T52 H:65 D:T8732 C:A92,auction_calm
Bidpractice/Set3,12,S:K4 H:QT6 D:8532 C:Q985,S:83 H:J8543 D:KJ9 C:J42,S:QJT96 H:A7 D:AQ6 C:AK7,S:A752 H:K92 D:T74 C:T63,auction_calm
Bidpractice/Set3,13,S:QJT83 H:AJ4 D:AT C:962,S:72 H:9876 D:8543 C:KQ5,S:AK964 H:KQ5 D:KQJ7 C:3,S:5 H:T32 D:962 C:AJT874,auction_calm
Bidpractice/Set3,14,S:A74 H:Q5 D:K764 C:7653,S:KJT93 H:JT3 D:Q C:JT84,S:62 H:AK8762 D:AT3 C:A9,S:Q85 H:94 D:J9852 C:KQ2,auction_calm
Bidpractice/Set3,15,S:KQ74 H:83 D:762 C:AKQ2,S:A652 H:T96 D:AK C:9854,S:JT83 H:AQ74 D:J53 C:76,S:9 H:KJ52 D:QT984 C:JT3,auction_calm
Bidpractice/Set3,16,S:A94 H:A7 D:K83 C:KJ962,S:T5 H:T8654 D:QJ72 C:53,S:KQ7 H:KQJ3 D:AT6 C:QT8,S:J8632 H:92 D:954 C:A74,auction_calm
Bidpractice/Set3,17,S:K973 H:842 D:AK5 C:J76,S:T H:AT76 D:QJ983 C:T53,S:AQ862 H:J53 D:74 C:KQ2,S:J54 H:KQ9 D:T62 C:A984,auction_calm
Bidpractice/Set3,18,S:73 H:Q8642 D:A86 C:K95,S:K64 H:9 D:JT93 C:AJT72,S:T82 H:AK753 D:KQ5 C:Q6,S:AQJ95 H:JT D:742 C:843,auction_calm
Bidpractice/Set3,19,S:QJ75 H:A D:AKQ3 C:KT62,S:92 H:T8654 D:JT5 C:A74,S:KT83 H:J72 D:986 C:QJ3,S:A64 H:KQ93 D:742 C:985,auction_calm
Bidpractice/Set3,20,S:T963 H:754 D:Q7 C:AK64,S:8 H:A963 D:KT853 C:J72,S:KQJ74 H:KQ2 D:AJ6 C:93,S:A52 H:JT8 D:942 C:QT85,auction_calm
Bidpractice/Set3,21,S:KJ3 H:KQ5 D:AQJ C:KJ42,S:95 H:T8743 D:875 C:A73,S:QT8 H:AJ6 D:KT93 C:QT5,S:A7642 H:92 D:642 C:986,auction_calm
Bidpractice/Set3,22,S:JT4 H:AJ6 D:K53 C:T872,S:K732 H:T973 D:J2 C:A54,S:965 H:KQ2 D:A87 C:KQJ3,S:AQ8 H:854 D:QT964 C:96,auction_calm
Bidpractice/Set3,23,S:QT82 H:AK D:764 C:AKQ5,S:AK H:9873 D:T985 C:JT6,S:J975 H:642 D:AKJ C:742,S:643 H:QJT5 D:Q32 C:983,auction_calm
Bidpractice/Set3,24,S:543 H:A72 D:KT65 C:985,S:76 H:J653 D:A7 C:JT743,S:KQJ H:KQ8 D:QJ93 C:AK2,S:AT982 H:T94 D:842 C:Q6,auction_calm
Bidpractice/Set4,1,S:KQ7 H:AT4 D:K9 C:QJT85,S:J85 H:K6 D:87532 C:K73,S:AT92 H:Q973 D:AQ4 C:96,S:643 H:J852 D:JT6 C:A42,auction_calm
Bidpractice/Set4,2,S:KJ8754 H:86 D:KQ3 C:72,S:A93 H:J5 D:9864 C:KJ94,S:QT H:KQ93 D:A52 C:AT86,S:62 H:AT742 D:JT7 C:Q53,auction_calm
Bidpractice/Set4,3,S:K75 H:Q93 D:K75 C:AKJ3,S:AQT2 H:4 D:T943 C:T864,S:643 H:AKJ765 D:82 C:Q7,S:J98 H:T82 D:AQJ6 C:952,auction_calm
Bidpractice/Set4,4,S:73 H:KQ86 D:K42 C:JT95,S:QJ92 H:7 D:T853 C:A763,S:AK65 H:AT4 D:QJ97 C:K8,S:T84 H:J9532 D:A6 C:Q42,auction_calm
Bidpractice/Set4,5,S:KJ4 H:QT D:KQJ6 C:A973,S:T6532 H:K62 D:T C:KQ42,S:A9 H:AJ983 D:752 C:J86,S:Q87 H:754 D:A9843 C:T5,auction_calm
Bidpractice/Set4,6,S:Q87632 H:85 D:954 C:53,S:AT4 H:J4 D:JT62 C:AT86,S:KJ5 H:A76 D:A83 C:KQ94,S:9 H:KQT932 D:KQ7 C:J72,auction_calm
Bidpractice/Set4,7,S:Q63 H:QT92 D:A76 C:AK3,S:JT8 H:K4 D:T942 C:Q975,S:AK72 H:AJ86 D:53 C:T84,S:954 H:753 D:KQJ8 C:J62,auction_calm
Bidpractice/Set4,8,S:K974 H:K862 D:73 C:865,S:JT5 H:T5 D:984 C:KJ973,S:AQ82 H:AQ3 D:KT62 C:AQ,S:63 H:J974 D:AQJ5 C:T42,auction_calm
Bidpractice/Set4,9,S:AJT H:K9 D:A872 C:AT96,S:K63 H:74 D:953 C:KQ873,S:Q9874 H:AJT83 D:Q6 C:5,S:52 H:Q652 D:KJT4 C:J42,auction_calm
Bidpractice/Set4,10,S:KQ542 H:87 D:A8 C:Q764,S:JT7 H:J5 D:T964 C:AT93,S:A96 H:KQ62 D:K532 C:K8,S:83 H:AT943 D:QJ7 C:J52,auction_calm
Bidpractice/Set4,11,S:K86 H:A93 D:KQ8 C:AKJ2,S:AT952 H:8 D:T5 C:T8765,S:74 H:KQJ7542 D:A92 C:9,S:QJ3 H:T6 D:J7643 C:Q43,auction_calm
Bidpractice/Set4,12,S:K985 H:Q7 D:K87 C:J965,S:QJ742 H:T62 D:JT3 C:A8,S:A6 H:KJ53 D:A654 C:KT7,S:T3 H:A984 D:Q92 C:Q432,auction_calm
Bidpractice/Set4,13,S:A75 H:QJ6 D:AK52 C:QT9,S:T3 H:T984 D:QT4 C:K852,S:K9864 H:AK53 D:J8 C:64,S:QJ2 H:72 D:9763 C:AJ73,auction_calm
Bidpractice/Set4,14,S:Q865 H:K764 D:A32 C:54,S:JT4 H:T5 D:9864 C:A983,S:AK73 H:QJ2 D:J5 C:KQJ6,S:92 H:A983 D:KQT7 C:T72,auction_calm
Bidpractice/Set4,15,S:KQ H:AQ75 D:KT9 C:QJ84,S:A932 H:J83 D:J763 C:A9,S:JT8765 H:9 D:AQ5 C:T72,S:4 H:KT642 D:842 C:K653,auction_calm
Bidpractice/Set4,16,S:Q742 H:QJT75 D:K6 C:83,S:AT86 H:94 D:J9753 C:KJ,S:KJ5 H:AK6 D:AQ2 C:T762,S:93 H:832 D:T84 C:AQ954,auction_calm
Bidpractice/Set4,17,S:Q742 H:QJT75 D:K7 C:83,S:T96 H:93 D:853 C:AKJ95,S:AKJ5 H:K6 D:AQ62 C:T72,S:83 H:A842 D:JT94 C:Q64,auction_calm
Bidpractice/Set4,18,S:Q742 H:QJT75 D:K7 C:83,S:J3 H:843 D:JT9 C:KQ964,S:AK5 H:K6 D:AQ62 C:JT72,S:T986 H:A92 D:8543 C:A5,auction_calm
Bidpractice/Set4,19,S:KJ H:AK6 D:J953 C:KJ96,S:73 H:JT94 D:AK6 C:T742,S:QT8654 H:Q753 D:7 C:AQ,S:A92 H:82 D:QT842 C:853,auction_calm
Bidpractice/Set4,20,S:KQ3 H:QT9843 D:K5 C:A5,S:98542 H:7 D:QJ6 C:J742,S:A7 H:KJ65 D:A84 C:KQT8,S:JT6 H:A2 D:T9732 C:963,auction_calm
Bidpractice/Set4,21,S:Q965 H:AQ93 D:KQ8 C:A6,S:A84 H:T6 D:7642 C:KJT5,S:KJT3 H:K5 D:A93 C:8742,S:72 H:J8742 D:JT5 C:Q93,auction_calm
Bidpractice/Set4,22,S:J974 H:Q862 D:T876 C:4,S:KQ5 H:J5 D:42 C:KQJ763,S:AT6 H:AK74 D:AQ53 C:T9,S:832 H:T93 D:KJ9 C:A852,auction_calm
Bidpractice/Set4,23,S:AQ62 H:KJ8 D:A62 C:K87,S:T95 H:T4 D:9853 C:AT64,S:KJ73 H:Q95 D:KT4 C:Q93,S:84 H:A7632 D:QJ7 C:J52,auction_calm
Bidpractice/Set4,24,S:QT864 H:Q73 D:A6 C:T84,S:A93 H:T6 D:852 C:KQ973,S:KJ7 H:KJ54 D:KQ73 C:A5,S:52 H:A982 D:JT94 C:J62,auction_calm
Bidpractice/Set5,1,S:AK9873 H:82 D:986 C:J4,S:T64 H:J4 D:753 C:AK986,S:QJ2 H:K975 D:KQ2 C:Q53,S:5 H:AQT63 D:AJT4 C:T72,auction_calm
Bidpractice/Set5,2,S:AK9873 H:82 D:986 C:J4,S:T64 H:T4 D:T53 C:KQ986,S:QJ2 H:AK75 D:A72 C:A53,S:5 H:QJ963 D:KQJ4 C:T72,auction_calm
Bidpractice/Set5,3,S:AK9873 H:82 D:986 C:J4,S:T5 H:AJ6 D:JT43 C:AT96,S:QJ62 H:75 D:A72 C:Q753,S:4 H:KQT943 D:KQ5 C:K82,auction_calm
Bidpractice/Set5,4,S:KQ76 H:A62 D:53 C:AQ83,S:J852 H:KQT4 D:A C:JT42,S:43 H:85 D:KQJ9862 C:97,S:AT9 H:J973 D:T74 C:K65,auction_calm
Bidpractice/Set5,5,S:87 H:KQJ9732 D:5 C:864,S:K H:T54 D:QT98 C:QJT52,S:AJT643 H:A D:AK64 C:97,S:Q952 H:86 D:J732 C:AK3,auction_calm
Bidpractice/Set5,6,S:K4 H:KJ5 D:942 C:KQJ72,S:32 H:9874 D:AK83 C:T84,S:AQJ9765 H:QT2 D:7 C:63,S:T8 H:A63 D:QJT65 C:A95,auction_calm
Bidpractice/Set5,7,S:764 H:AK9743 D:72 C:Q5,S:AJ983 H:T5 D:J983 C:T8,S:KQ H:QJ D:AKQ65 C:KJ42,S:T52 H:862 D:T4 C:A9763,auction_calm
Bidpractice/Set5,8,S:AQ5 H:4 D:KQ94 C:KJ742,S:KT762 H:T5 D:AT73 C:AT,S:J83 H:KQJ762 D:85 C:85,S:94 H:A983 D:J62 C:Q963,auction_calm
Bidpractice/Set5,9,S:K84 H:AQT642 D:4 C:965,S:9 H:J53 D:KJT8 C:QT872,S:AQJT65 H:7 D:A95 C:KJ3,S:732 H:K98 D:Q7632 C:A4,auction_calm
Bidpractice/Set5,10,S:AK75 H:K63 D:KQJ54 C:A,S:QJ93 H:9 D:87 C:QJT763,S:6 H:AQJ8754 D:632 C:84,S:T842 H:T2 D:AT9 C:K952,auction_calm
Bidpractice/Set5,11,S:J3 H:76 D:97 C:KQ98752,S:9876 H:A983 D:K865 C:3,S:AQT H:KQJ D:QJT3 C:AJT,S:K542 H:T542 D:A42 C:64,auction_calm
Bidpractice/Set5,12,S:AQ63 H:Q82 D:AKQ C:KQJ,S:KT82 H:5 D:642 C:AT875,S:J4 H:KJT963 D:875 C:42,S:975 H:A74 D:JT93 C:963,auction_calm
Bidpractice/Set5,13,S:KQ9862 H:864 D:94 C:K6,S:A74 H:T2 D:65 C:QJT873,S:JT3 H:AK53 D:AQ732 C:4,S:5 H:QJ97 D:KJT8 C:A952,auction_calm
Bidpractice/Set5,14,S:A64 H:Q42 D:AJ4 C:AK65,S:T852 H:A987 D:95 C:J32,S:73 H:K53 D:KQT872 C:94,S:KQJ9 H:JT6 D:63 C:QT87,auction_calm
Bidpractice/Set5,15,S:975 H:76 D:AKQ962 C:83,S:J2 H:JT432 D:T8 C:QJ94,S:KQ8 H:AK8 D:J43 C:AT65,S:AT643 H:Q95 D:75 C:K72,auction_calm
Bidpractice/Set5,16,S:T92 H:A8743 D:3 C:AK92,S:A6 H:KJ965 D:QT82 C:T6,S:KQJ8753 H:2 D:754 C:J5,S:4 H:QT D:AKJ96 C:Q8743,auction_calm
Bidpractice/Set5,17,S:AK8762 H:83 D:83 C:K65,S:JT4 H:AQT92 D:QT52 C:8,S:Q9 H:J75 D:A96 C:AQJ42,S:53 H:K64 D:KJ74 C:T973,auction_calm
Bidpractice/Set5,18,S:QJ83 H:T6 D:KJ4 C:KQJ4,S:KT72 H:4 D:Q63 C:A9876,S:65 H:AQJ8753 D:975 C:5,S:A94 H:K92 D:AT82 C:T32,auction_calm
Bidpractice/Set5,19,S:54 H:863 D:AKQ974 C:85,S:8632 H:Q954 D:T5 C:J63,S:KQJ H:AK7 D:J63 C:AK42,S:AT97 H:JT2 D:82 C:QT97,auction_calm
Bidpractice/Set5,20,S:KJ6 H:AQJ42 D:964 C:A5,S:T83 H:865 D:QT C:KQT62,S:AQ9752 H:K3 D:852 C:73,S:4 H:T97 D:AKJ73 C:J984,auction_calm
Bidpractice/Set5,21,S:AQ9864 H:53 D:873 C:72,S:2 H:T987 D:KQJ5 C:KT43,S:KJ3 H:AQJ42 D:964 C:A5,S:T75 H:K6 D:AT2 C:QJ986,auction_calm
Bidpractice/Set5,22,S:A63 H:AKQJ742 D:A8 C:4,S:QJ97 H:T5 D:QJ62 C:AT7,S:5 H:8 D:9753 C:KQJ9863,S:KT842 H:963 D:KT4 C:52,auction_calm
Bidpractice/Set5,23,S:QJT742 H:KQ72 D:52 C:9,S:985 H:8 D:K943 C:KJT75,S:K3 H:AJ963 D:AQ7 C:864,S:A6 H:T54 D:JT86 C:AQ32,auction_calm
Bidpractice/Set5,24,S:AQ3 H:AJT D:K754 C:QT4,S:KT874 H:Q8 D:6 C:J9832,S:62 H:742 D:AJT832 C:K7,S:J95 H:K9653 D:Q9 C:A65,auction_calm
Bidpractice/Set6,1,S:AK9 H:AK2 D:A83 C:AJ74,S:JT53 H:T6 D:QT7 C:KQT8,S:872 H:754 D:J642 C:953,S:Q64 H:QJ983 D:K95 C:62,auction_calm
Bidpractice/Set6,2,S:K73 H:Q82 D:T986 C:542,S:QJ95 H:JT93 D:742 C:J7,S:A82 H:AK75 D:KQJ C:KQT,S:T64 H:64 D:A53 C:A9863,auction_calm
Bidpractice/Set6,3,S:K3 H:KQJ2 D:AQ98 C:AK4,S:A964 H:9873 D:J63 C:J8,S:QJT72 H:A5 D:742 C:653,S:85 H:T64 D:KT5 C:QT972,auction_calm
Bidpractice/Set6,4,S:A3 H:T982 D:986 C:8764,S:T975 H:6 D:KT53 C:QJ95,S:KQ2 H:AKQ75 D:A72 C:AT,S:J864 H:J43 D:QJ4 C:K32,auction_calm
Bidpractice/Set6,5,S:AJ87 H:AK D:A86 C:AKQJ,S:KT53 H:JT82 D:J94 C:T6,S:Q62 H:9753 D:Q52 C:953,S:94 H:Q64 D:KT73 C:8742,auction_calm
Bidpractice/Set6,6,S:642 H:754 D:J72 C:8653,S:Q5 H:T9 D:KQT95 C:JT94,S:A73 H:AKQ862 D:86 C:AK,S:KJT98 H:J3 D:A43 C:Q72,auction_calm
Bidpractice/Set6,7,S:AK63 H:AK82 D:KQJ C:KQ,S:JT85 H:4 D:964 C:AT986,S:42 H:QJ975 D:A52 C:753,S:Q97 H:T63 D:T873 C:J42,auction_calm
Bidpractice/Set6,8,S:AJ983 H:K72 D:6 C:A874,S:65 H:96 D:Q954 C:QT965,S:KQT2 H:AQJT5 D:AK2 C:K,S:74 H:843 D:JT873 C:J32,auction_calm
Bidpractice/Set6,9,S:KQ86 H:AKJ2 D:AKQ C:86,S:54 H:Q63 D:954 C:AJT97,S:AJT72 H:987 D:82 C:Q53,S:93 H:T54 D:JT763 C:K42,auction_calm
Bidpractice/Set6,10,S:K63 H:Q85 D:K764 C:953,S:T852 H:94 D:JT5 C:KQT8,S:AQ9 H:AK2 D:A83 C:AJ74,S:J74 H:JT763 D:Q92 C:62,auction_calm
Bidpractice/Set6,11,S:AK9 H:AJ82 D:A6 C:AK93,S:864 H:K4 D:Q984 C:QJT7,S:QJ72 H:QT75 D:72 C:854,S:T53 H:963 D:KJT53 C:62,auction_calm
Bidpractice/Set6,12,S:Q63 H:Q85 D:K764 C:KJ3,S:T852 H:94 D:JT5 C:T986,S:AK9 H:AK2 D:A83 C:AQ74,S:J74 H:JT763 D:Q92 C:52,auction_calm
Bidpractice/Set6,13,S:AKQ86 H:AKT82 D:A C:86,S:T94 H:Q4 D:T65 C:AJT75,S:72 H:9753 D:Q742 C:Q93,S:J53 H:J6 D:KJ983 C:K42,auction_calm
Bidpractice/Set6,14,S:K73 H:982 D:AQJ86 C:J2,S:T964 H:73 D:43 C:A8765,S:AQ2 H:AKQ5 D:K75 C:KQT,S:J85 H:JT64 D:T92 C:943,auction_calm
Bidpractice/Set6,15,S:K6 H:AKQJ2 D:KQJ C:KQJ,S:QJ5 H:T64 D:T73 C:T852,S:AT972 H:975 D:852 C:A3,S:843 H:83 D:A964 C:9764,auction_calm
Bidpractice/Set6,16,S:J42 H:8752 D:J72 C:K63,S:8 H:J94 D:KQT95 C:T985,S:AKQT3 H:AK6 D:86 C:AQ4,S:9765 H:QT3 D:A43 C:J72,auction_calm
Bidpractice/Set6,17,S:AQ H:KQJ2 D:AQ98 C:AK4,S:9853 H:83 D:763 C:JT98,S:KJ72 H:A75 D:J42 C:653,S:T64 H:T964 D:KT5 C:Q72,auction_calm
Bidpractice/Set6,18,S:7 H:KQJ832 D:986 C:874,S:T953 H:7 D:Q753 C:JT96,S:KQJ82 H:A5 D:AK2 C:AK2,S:A64 H:T964 D:JT4 C:Q53,auction_calm
Bidpractice/Set6,19,S:KQ87 H:AKQ2 D:AKJ6 C:6,S:642 H:T6 D:T54 C:AT987,S:AJT5 H:85 D:Q72 C:KQ53,S:93 H:J9743 D:983 C:J42,auction_calm
Bidpractice/Set6,20,S:2 H:QJ52 D:9872 C:T763,S:T974 H:4 D:K54 C:KJ985,S:AKQ63 H:AKT96 D:T6 C:A,S:J85 H:873 D:AQJ3 C:Q42,auction_calm
Bidpractice/Set6,21,S:QT85 H:AK6 D:AK8 C:KQJ,S:A963 H:T982 D:953 C:T6,S:KJ2 H:Q75 D:QT72 C:753,S:74 H:J43 D:J64 C:A9842,auction_calm
Bidpractice/Set6,22,S:K987 H:QJ82 D:986 C:74,S:T65 H:T97 D:A54 C:QT32,S:AQJ2 H:AK5 D:KQ73 C:A6,S:43 H:643 D:JT2 C:KJ985,auction_calm
